job_id,job_title,company,location,salary,tags,job_url,date_scraped
1129368,Senior Software Developer II Cloud,Life360,"Remote, Canada",,"developer, software, cloud, php, mobile, senior, operations, go, backend, digital nomad",https://remoteOK.com/remote-jobs/remote-senior-software-developer-ii-cloud-life360-1129368,2026-01-08
1129367,HR Administrator,Offshore Launch,Remote,,"hr, growth, payroll, administrator, operations",https://remoteOK.com/remote-jobs/remote-hr-administrator-offshore-launch-1129367,2026-01-08
1129366,Product Designer,Ahrefs,Remote,,"design, designer, technical, software, manager, lead, senior, marketing, sales, engineering, recruitment, digital nomad",https://remoteOK.com/remote-jobs/remote-product-designer-ahrefs-1129366,2026-01-08
1129365,Client Success Manager,Offshore Launch,Remote,,"manager, support, growth, operations, full-time",https://remoteOK.com/remote-jobs/remote-client-success-manager-offshore-launch-1129365,2026-01-08
1129364,Full Stack Developer,MicroVentures,Texas,,"developer, laravel, senior, engineering, digital nomad",https://remoteOK.com/remote-jobs/remote-full-stack-developer-microventures-1129364,2026-01-08
1129363,Sales Development Manager,Dune,London,,"manager, saas, crypto, technical, travel, scheme, strategy, lead, analytics, sales, go, health, engineering, part-time",https://remoteOK.com/remote-jobs/remote-sales-development-manager-dune-1129363,2026-01-08
1129362,Current job openings,Databricks,Remote,,,https://remoteOK.com/remote-jobs/remote-current-job-openings-databricks-1129362,2026-01-08
1129361,Senior Business Analyst,Xpansiv,Remote,,"analyst, design, system, security, technical, recruiter, support, testing, manager, education, microsoft, management, lead, senior, operational, recruiting, digital nomad",https://remoteOK.com/remote-jobs/remote-senior-business-analyst-xpansiv-1129361,2026-01-08
1129360,Project Coordinator Contract,INFUSE,Remote,,"security, coordinator, test, manager, video, recruiting, non tech",https://remoteOK.com/remote-jobs/remote-project-coordinator-contract-infuse-1129360,2026-01-08
1129359,Commercial Sales Engineer Central,Chainguard,United States,,"security, technical, support, serverless, cloud, sales, engineer",https://remoteOK.com/remote-jobs/remote-commercial-sales-engineer-central-chainguard-1129359,2026-01-08
1129358,Business Development Manager,Unlimit,,,"manager, crypto, support, growth, financial, fintech, strategy, recruiting, executive",https://remoteOK.com/remote-jobs/remote-business-development-manager-unlimit-1129358,2026-01-08
1129357,Motion Designer,Alpaca,Remote - North America,,"design, crypto, designer, technical, ui, web, financial, video, investment, c, api, mobile, digital nomad",https://remoteOK.com/remote-jobs/remote-motion-designer-alpaca-1129357,2026-01-08
1129356,Social Media Content Specialist,AllTrails,Remote,,"design, support, growth, video, education, investment, content, digital nomad",https://remoteOK.com/remote-jobs/remote-social-media-content-specialist-alltrails-1129356,2026-01-08
1129355,Senior Backend Software Engineer,Teleport,United States,,"software, security, recruiter, code, education, cloud, senior, go, health, engineer, engineering, linux, backend",https://remoteOK.com/remote-jobs/remote-senior-backend-software-engineer-teleport-1129355,2026-01-08
